Country Name	NMR	U5MR	IMZ	WTR	SNT	PPE	PRM	PRC
Slovakia	0.950435566	0.970050441	0.982889734	0.974620193	0.988402325	0.582623862	0.496787565	0.785174865
Slovenia	0.98828477	0.997372846	0.950570342	0.994273046	0.990464936	0.584105525	0.486820526	0.812418794
Solomon Islands	0.790928207	0.817990752	0.950570342	0.601484496	0.246385941	0.621202722	0.654593422	0.665469267
South Africa	0.758486032	0.671080286	0.627376426	0.797491589	0.690584952	0.485833005	0.475596468	0.649095549
South Sudan	0.167017122	0.274169819	0.750484202	0.343108174	0.024427462	0.051379088	0.21821187	0
Spain	0.977470712	0.991277848	0.97148289	0.999710724	0.998976089	0.615525515	0.544354551	0.837402369
Sri Lanka	0.902072695	0.941887348	1	0.87496822	0.927361244	0.592305535	0.502607672	0.81710683
Sudan	0.368879543	0.495691467	0.914448669	0.451518701	0.267704279	0.25171807	0.173980783	0.375176193
Suriname	0.77500751	0.855506515	0.855513308	0.931750048	0.779137488	0.560011409	0.699066331	0.712660819
Swaziland	0.554220487	0.431168558	0.920152091	0.569252651	0.535716651	0.146988082	0.614190187	0.571206474
Sweden	0.987083208	0.995586381	0.986692015	1	0.992599987	0.604504327	0.62338033	0.846495315
Switzerland	0.957344548	0.985603195	0.961977186	1	0.998852216	0.650554217	0.532302782	0.788301542
Syrian Arab Republic	0.833583659	0.889554435	0.374524715	0.958682034	0.924165208	0.058548396	0.61990477	0.79562706
Tajikistan	0.572544308	0.666666667	0.952471483	0.656833625	0.944737596	0.060656347	0.465568311	0.815999634
Thailand	0.851306699	0.918032787	1	0.971572431	0.946672796	0.443073858	0.475354651	0.726575122
Timor-Leste	0.531991589	0.606872636	0.712927757	0.590104884	0.379069359	0.091932717	0.731029897	0.660542534
Togo	0.443075999	0.407419084	0.823193916	0.50716559	0.075081259	0.077033505	0.772851793	0.574851445
Tonga	0.870832082	0.891025641	0.745247148	0.995934947	0.921827711	0.235795514	0.597196505	0.896497217
Trinidad and Tobago	0.730549715	0.866960908	0.91634981	0.961438983	0.915851787	0.528066564	0.564570456	0.774163562
Tunisia	0.827575849	0.904686843	0.984790875	0.917949708	0.906835347	0.273576258	0.621608013	0.827725722
Turkey	0.856413337	0.901849517	0.975285171	0.980656864	0.940153605	0.179041977	0.528782842	0.79581484
Turkmenistan	0.519074797	0.602774275	0.980988593	0.911848223	0.961095106	0.36928561	0.362802924	0.705733075
Uganda	0.53259237	0.533102144	0.731939163	0.230372338	0.129816781	0.072210833	0.567971809	0.322926643
Ukraine	0.891258636	0.941467003	0.288973384	0.967307202	0.954936208	0.612701785	0.499347675	0.826316224
United Arab Emirates	0.933313307	0.957860446	0.982507452	0.995497217	0.999754155	0.541501168	0.538596189	0.775033844
United Kingdom	0.960949234	0.982765868	0.94486692	1	0.990551888	0.548221444	0.556622509	0.857096561
United Republic of Tanzania	0.53229198	0.548549811	0.929657795	0.348679961	0.150837954	0.206646393	0.356507241	0.591670668
United States	0.938119555	0.966477512	0.94486692	0.990007329	0.999669922	0.442125936	0.481299774	0.793344272
Uruguay	0.912886753	0.945355191	0.94486692	0.985540001	0.950655293	0.565603246	0.601883185	0.867262446
Uzbekistan	0.672273956	0.797498949	1	0.894974274	1	0.157582518	0.461737989	0.769872129
Vanuatu	0.76359267	0.805590584	0.538022814	0.85959017	0.50206626	0.621302132	0.74432687	0.704847515
Venezuela	0.797236407	0.893232451	0.762357414	0.966932034	0.939623909	0.463506411	0.498030254	0.769941644
Viet Nam	0.76930009	0.851513241	0.884030418	0.861389238	0.725492299	0.505219123	0.581320108	0.861940267
Yemen	0.4556924	0.609184531	0.629277567	0.574605442	0.533705942	0.008897581	0.423267209	0.467106272
Zambia	0.498948633	0.480138714	0.800380228	0.498000795	0.255374149	0.149008852	0.555449306	0.68261595
Zimbabwe	0.472814659	0.49148802	0.899239544	0.598007795	0.350420805	0.264647981	0.494224841	0.702762879
